rounding_type,rounding_p,diff,round_corpus,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,NDCG@1000,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,MAP@1000,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,Recall@1000,P@1,P@3,P@5,P@10,P@100,P@1000
uniform,5,0.19999999999999998,True,0.7229,0.78516,0.8062,0.82277,0.84171,0.84328,0.62662,0.74065,0.76112,0.77341,0.78166,0.78187,0.62662,0.81885,0.87557,0.92381,0.991,0.99893,0.7229,0.34807,0.23244,0.12837,0.01517,0.00156
uniform,5,0.19999999999999998,False,0.7946,0.8368,0.85363,0.86786,0.88183,0.88312,0.68876,0.7969,0.81613,0.82757,0.83454,0.83471,0.68876,0.85674,0.90361,0.94495,0.99321,0.99964,0.7946,0.36603,0.24168,0.13262,0.01526,0.00157
uniform,6,0.16666666666666669,True,0.7591,0.80957,0.82959,0.84563,0.86147,0.86305,0.65877,0.76744,0.78803,0.80038,0.80783,0.80802,0.65877,0.83462,0.88888,0.93569,0.99111,0.99947,0.7591,0.35597,0.23708,0.13079,0.01521,0.00157
uniform,6,0.16666666666666669,False,0.7957,0.83902,0.85524,0.8699,0.88364,0.8848,0.69082,0.79938,0.81809,0.83001,0.8369,0.83707,0.69082,0.85828,0.90447,0.94654,0.99427,0.9998,0.7957,0.3675,0.24182,0.13307,0.01527,0.00157
uniform,7,0.14285714285714288,True,0.7735,0.82251,0.8398,0.85545,0.87065,0.87203,0.67086,0.78088,0.80007,0.81237,0.81967,0.81985,0.67086,0.84662,0.8944,0.93989,0.99278,0.99975,0.7735,0.361,0.23868,0.13155,0.01523,0.00157
uniform,7,0.14285714285714288,False,0.7966,0.84006,0.85684,0.87053,0.88428,0.88541,0.69083,0.80027,0.81929,0.83064,0.83766,0.83782,0.69083,0.85965,0.90677,0.94716,0.9942,0.99966,0.7966,0.36827,0.243,0.13298,0.01529,0.00157
uniform,8,0.125,True,0.7824,0.8287,0.84715,0.8617,0.87621,0.87746,0.67875,0.78785,0.80796,0.81995,0.82694,0.82711,0.67875,0.85003,0.90044,0.9429,0.99337,0.99967,0.7824,0.3631,0.24082,0.13235,0.01527,0.00157
uniform,8,0.125,False,0.7989,0.84107,0.85775,0.872,0.88544,0.88658,0.69315,0.80151,0.82065,0.83249,0.83928,0.83945,0.69315,0.85948,0.90658,0.94794,0.99413,0.99964,0.7989,0.36807,0.24272,0.13329,0.01528,0.00157
uniform,9,0.1111111111111111,True,0.7879,0.83402,0.85145,0.86559,0.87969,0.88089,0.68353,0.79353,0.81294,0.82463,0.83161,0.83178,0.68353,0.8554,0.90388,0.94501,0.99384,0.99971,0.7879,0.36607,0.2419,0.13277,0.01528,0.00157
uniform,9,0.1111111111111111,False,0.8003,0.84182,0.8591,0.87268,0.88603,0.88716,0.69374,0.80221,0.82174,0.83317,0.83995,0.84012,0.69374,0.86034,0.90853,0.94822,0.9942,0.99969,0.8003,0.36857,0.24348,0.13339,0.01529,0.00157
uniform,10,0.09999999999999999,True,0.7931,0.83728,0.85358,0.86836,0.88224,0.88338,0.68867,0.7973,0.81588,0.82794,0.83488,0.83504,0.68867,0.85721,0.90345,0.94623,0.9941,0.99966,0.7931,0.3668,0.24158,0.13287,0.01529,0.00157
uniform,10,0.09999999999999999,False,0.8012,0.84264,0.85905,0.87289,0.88647,0.8876,0.69515,0.80314,0.8221,0.83366,0.84051,0.84068,0.69515,0.86116,0.90745,0.94766,0.99437,0.99981,0.8012,0.36877,0.24306,0.13325,0.0153,0.00157
uniform,12,0.08333333333333334,True,0.7981,0.84079,0.85726,0.872,0.88518,0.88639,0.69323,0.80125,0.82014,0.83216,0.83895,0.83912,0.69323,0.85969,0.906,0.94873,0.99397,0.99982,0.7981,0.3679,0.24246,0.13331,0.01528,0.00157
uniform,12,0.08333333333333334,False,0.8035,0.84349,0.86041,0.8744,0.88763,0.88874,0.69664,0.80419,0.82343,0.8351,0.84195,0.84212,0.69664,0.86126,0.90832,0.94911,0.99447,0.9998,0.8035,0.3689,0.24348,0.13355,0.01529,0.00157
uniform,15,0.06666666666666667,True,0.7993,0.84153,0.85811,0.87194,0.88549,0.88663,0.69261,0.80167,0.82043,0.83203,0.839,0.83917,0.69261,0.86124,0.90779,0.94806,0.9943,0.99979,0.7993,0.36853,0.24302,0.13322,0.01529,0.00157
uniform,15,0.06666666666666667,False,0.8028,0.84432,0.8612,0.87476,0.88785,0.889,0.69692,0.805,0.82424,0.83565,0.84243,0.84259,0.69692,0.86189,0.90968,0.94945,0.99432,0.99984,0.8028,0.36957,0.24382,0.13362,0.01529,0.00157
uniform,20,0.049999999999999996,True,0.8016,0.84347,0.85978,0.87401,0.88719,0.88828,0.69543,0.80373,0.82274,0.83454,0.84132,0.84148,0.69543,0.86183,0.90787,0.94939,0.99454,0.99974,0.8016,0.3691,0.24336,0.13353,0.01529,0.00157
uniform,20,0.049999999999999996,False,0.8031,0.84359,0.86092,0.87489,0.88774,0.88891,0.6967,0.80438,0.82384,0.83553,0.8422,0.84237,0.6967,0.86118,0.90961,0.95009,0.99415,0.99979,0.8031,0.36897,0.24368,0.13376,0.01528,0.00157
None,0,0.0,False,0.804,0.84468,0.86195,0.87558,0.88848,0.88961,0.69758,0.8054,0.82496,0.83644,0.84314,0.84331,0.69758,0.86215,0.9104,0.95029,0.9944,0.99979,0.804,0.36953,0.24402,0.13374,0.01529,0.00157
